org,channel,product,planner
org1,Non Revenue,C D RO,user1
org1,Non Revenue,O B GK,user3
org1,Non Revenue,ONMSDS,user3
org1,Non Revenue,MBBFAB,user1
org1,Non Revenue,A G AD,user1
org1,Non Revenue,BJN A,user1
org1,Non Revenue,BJN B,user3
org1,Non Revenue,MRINO,user1
org1,Non Revenue,R G AC,user1
org1,Non Revenue,MBCAD,user1
org1,Non Revenue,O N B,user2
org1,Non Revenue,U J C,user3
org1,Non Revenue,B LLPE,user1
org1,Non Revenue,B LSPF,user1
org1,Non Revenue,B LSCC,user2
org1,Non Revenue,RNIIDI,user1
org1,Non Revenue,B PEG,user1
org1,Non Revenue,MAB C,user1
org1,Non Revenue,A G AF,user1
org1,Non Revenue,MACCEM,user2
org1,Non Revenue,A H B,user2
org1,Non Revenue,A H C,user1
org1,Non Revenue,O B FI,user1
org1,Non Revenue,B PBFD,user1
org1,Non Revenue,B V UA,user1
org1,Non Revenue,B RDA,user2
org1,Non Revenue,C G C,user1
org1,Non Revenue,MACCEG,user2
org1,Non Revenue,MSF BA,user2
org1,Non Revenue,MTL F,user1
org1,Non Revenue,GTL E,user2
org1,Non Revenue,MTL A,user2
org1,Non Revenue,GTL B,user1
org1,Non Revenue,MTL E,user1
org1,Non Revenue,UJZSA,user1
org1,Non Revenue,MAAAD,user1
org1,Non Revenue,MAI B,user3
org1,Non Revenue,MACBQ,user1
org1,Non Revenue,MACCYB,user1
org1,Revenue,A B K,user1
org1,Revenue,M OAZP,user1
org1,Revenue,M OAZS,user2
org1,Revenue,B C C,user3
org1,Revenue,O B G,user2
org1,Revenue,O B GD,user2
org1,Revenue,O B FB,user2
org1,Revenue,O B FC,user1
org1,Revenue,O B BC,user2
org1,Revenue,O B WJ,user1
org1,Revenue,O B WD,user3
org1,Revenue,O B HA,user2
org1,Revenue,O B HC,user3
org1,Revenue,B PABA,user1
org1,Revenue,B PARF,user1
org1,Revenue,B PARG,user1
org1,Revenue,B PARK,user1
org1,Revenue,B PARH,user1
org1,Revenue,B PARB,user3
org1,Revenue,E A IB,user1
org1,Revenue,E A IC,user1
org1,Revenue,B PBFB,user1
org1,Revenue,B PBFA,user1
org1,Revenue,B PBCC,user1
org1,Revenue,B PBEE,user3
org1,Revenue,B PBBH,user1
org1,Revenue,B PBBI,user1
org1,Revenue,B PBBM,user1
org1,Revenue,B PBBN,user3
org1,Revenue,B PBBO,user3
org1,Revenue,B PBBP,user2
org1,Revenue,B PBBT,user2
org1,Revenue,B V UB,user1
org1,Revenue,B PDBO,user3
org1,Revenue,B PDGG,user3
org1,Revenue,B PDGC,user3
org1,Revenue,O B AD,user3
org1,Revenue,E A M,user2
org1,Revenue,M AAFA,user2
org1,Revenue,M AAFB,user1
org1,Revenue,M AABA,user1
org1,Revenue,M AATC,user1
org1,Revenue,M AATA,user1
org1,Revenue,M AATB,user1
org1,Revenue,M AABC,user3
org1,Revenue,M AAFH,user1
org1,Revenue,M AAFE,user1
org1,Revenue,M ABA,user2
org1,Revenue,M ABB,user1
org1,Revenue,M ABC,user3
org1,Revenue,M ABE,user1
org1,Revenue,M AAFM,user1
org1,Revenue,MAB A,user1
org1,Revenue,M AAFK,user1
org1,Revenue,ONHEDT,user3
org1,Revenue,ONHCDT,user3
org1,Revenue,ONEQDT,user3
org1,Revenue,ONREDT,user1
org1,Revenue,ONCKDT,user1
org1,Revenue,ONGSDS,user1
org1,Revenue,ONGSDC,user2
org1,Revenue,ONVADT,user2
org1,Revenue,D F B,user1
org1,Revenue,C D CA,user3
org1,Revenue,C D C,user2
org1,Revenue,C D RK,user1
org1,Revenue,C D E,user1
org1,Revenue,CAS AE,user1
org1,Revenue,C G G,user2
org1,Revenue,CAS AH,user1
org1,Revenue,C D RL,user2
org1,Revenue,C D RO,user3
org1,Revenue,MBAAA,user1
org1,Revenue,MBAAAA,user1
org1,Revenue,MBAAB,user3
org1,Revenue,MBBAA,user3
org1,Revenue,MBABA,user1
org1,Revenue,MBABC,user1
org1,Revenue,MBBFBB,user3
org1,Revenue,MBBEA,user1
org1,Revenue,MBBEB,user1
org1,Revenue,MBADA,user1
org1,Revenue,MBADAA,user1
org1,Revenue,MBADB,user1
org1,Revenue,MBADBA,user3
org1,Revenue,MBBCB,user2
org1,Revenue,MBAEB,user1
org1,Revenue,MBAEC,user3
org1,Revenue,MBBGC,user1
org1,Revenue,GSS E,user1
org1,Revenue,MBBGA,user1
org1,Revenue,MBBGB,user1
org1,Revenue,A G AC,user1
org1,Revenue,A G AG,user1
org1,Revenue,A G AB,user3
org1,Revenue,A G AH,user1
org1,Revenue,A X BA,user2
org1,Revenue,MACCFG,user2
org1,Revenue,MACCFM,user2
org1,Revenue,MACCGG,user3
org1,Revenue,MACCGM,user2
org1,Revenue,EJN A,user3
org1,Revenue,CJN A,user2
org1,Revenue,CJN B,user1
org1,Revenue,BJN A,user1
org1,Revenue,BJN B,user3
org1,Revenue,M C F,user2
org1,Revenue,M C YF,user3
org1,Revenue,MACAC,user2
org1,Revenue,MACAHP,user1
org1,Revenue,MACAYA,user2
org1,Revenue,A R CP,user1
org1,Revenue,A R DT,user1
org1,Revenue,MTL F,user1
org1,Revenue,GTL D,user1
org1,Revenue,GTL C,user1
org1,Revenue,GTL AA,user3
org1,Revenue,MTL A,user1
org1,Revenue,GTL BA,user2
org1,Revenue,MTL D,user1
org1,Revenue,MTL E,user1
org1,Revenue,MTL CA,user2
org1,Revenue,MAI F,user2
org1,Revenue,F Y H,user3
org1,Revenue,F Y F,user1
org1,Revenue,O B FH,user3
org1,Revenue,R A A,user1
org1,Revenue,M JBA,user3
org1,Revenue,M JCF,user2
org1,Revenue,M JBC,user1
org1,Revenue,H P A,user1
org1,Revenue,O B WN,user1
org1,Revenue,O B AF,user1
org1,Revenue,O R A,user1
org1,Revenue,H S A,user1
org1,Revenue,M J B,user3
org1,Revenue,M JAS,user1
org1,Revenue,MACEI,user2
org1,Revenue,ONIIDT,user1
org1,Revenue,R B M,user3
org1,Revenue,R B L,user2
org1,Revenue,H S AA,user1
org1,Revenue,M K I,user1
org1,Revenue,O B CH,user1
org1,Revenue,F T E,user1
org1,Revenue,F K B,user2
org1,Revenue,MIA D,user2
org1,Revenue,MBCAB,user1
org1,Revenue,MBCAA,user3
org1,Revenue,F SAA,user2
org1,Revenue,F A MI,user1
org1,Revenue,FAR S,user1
org1,Revenue,O N A,user1
org1,Revenue,O N B,user1
org1,Revenue,MAP BZ,user2
org1,Revenue,UJZCD,user1
org1,Revenue,UJZSA,user1
org1,Revenue,UJZKB,user1
org1,Revenue,UJZHB,user1
